name,stra.1,stra.2,stra.3,stra.4,stra.5,stra.6,stra.7,stra.8,stra.9,stra.10,stra.11,stra.12,stra.13,stra.14,stra.15,stra.16,stra.17
initial,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529
0,0.102725089,0.082644237,0.06415574,0.04999681,0.079724932,0.031600421,0.017059692,0,0.10833657,0.097761553,0.073771696,0.071075899,0.049399145,0.033832228,0.027515701,0.020838887,0.089561401
1,0.13262455,0.07892661,0.056699991,0.033085364,0.075230959,0.011050185,0.003392988,0,0.14353242,0.113961283,0.075800375,0.072633706,0.036930402,0.02248815,0.017906858,0.011536856,0.114199304
2,0.154422592,0.066501813,0.047596758,0.019789946,0.062364975,0.003335406,6.65E-04,0,0.170437468,0.122163213,0.07415474,0.072190351,0.027237496,0.016536596,0.013072721,0.00735656,0.142174482
3,0.167854678,0.05070618,0.038742836,0.010989053,0.047486845,9.20E-04,1.35E-04,0,0.188693205,0.1255574,0.070643214,0.071244493,0.019994199,0.013250164,0.010412492,0.005209611,0.178160574
4,0.171051738,0.035672982,0.030349748,0.005636873,0.033437424,2.35E-04,2.77E-05,0,0.195881704,0.124579855,0.065388668,0.070051943,0.014553804,0.011554965,0.009012829,0.004072508,0.228492111
5,0.160747804,0.022760314,0.022232648,0.002591022,0.02135727,5.51E-05,5.44E-06,0,0.18773248,0.118407804,0.0578204,0.068452948,0.010390719,0.011098223,0.008567909,0.003554722,0.30422519
6,0.131344506,0.012356522,0.014107935,9.75E-04,0.011534526,1.13E-05,9.11E-07,0,0.156847539,0.104106005,0.046477837,0.065326832,0.007045884,0.011960842,0.009100515,0.003535693,0.425268202
7,0.077021052,0.004598703,0.006129477,2.20E-04,0.004155383,1.67E-06,9.03E-08,0,0.094724097,0.075301126,0.02925554,0.056932142,0.004105264,0.014553631,0.010856748,0.004047389,0.618097712
8,0.015373423,5.53E-04,6.32E-04,1.68E-07,3.14E-04,1.08E-07,0,0,0.020202117,0.030995086,0.009092246,0.036893219,0.001559698,0.018412639,0.013436581,0.004939453,0.847596814
9,4.86E-04,1.62E-05,3.54E-06,0,3.33E-06,1.42E-08,0,0,7.69E-04,0.006759078,0.00147993,0.016932211,4.43E-04,0.020158414,0.014536161,0.005358165,0.933054056
10,1.45E-06,1.89E-07,0,0,2.90E-09,1.92E-09,0,0,5.32E-06,0.001069127,2.04E-04,0.006782751,1.13E-04,0.020412816,0.014698463,0.005426719,0.951285879
11,4.08E-10,1.49E-09,0,0,0,2.53E-10,0,0,1.86E-08,1.53E-04,2.79E-05,0.00264237,2.83E-05,0.020243348,0.014604888,0.005393517,0.956906258
12,1.90E-14,1.05E-11,0,0,0,3.32E-11,0,0,5.57E-11,2.14E-05,3.81E-06,0.001023421,7.01E-06,0.019951974,0.014431493,0.005329527,0.959231356
13,2.26E-19,7.19E-14,0,0,0,4.35E-12,0,0,1.59E-13,2.96E-06,5.21E-07,3.96E-04,1.74E-06,0.019626257,0.014234007,0.005256464,0.96048236
14,1.48E-24,4.82E-16,0,0,0,5.68E-13,0,0,4.40E-16,4.07E-07,7.11E-08,1.53E-04,4.29E-07,0.019294754,0.014031936,0.005181693,0.961337833
15,8.20E-30,3.19E-18,0,0,0,7.42E-14,0,0,1.20E-18,5.58E-08,9.69E-09,5.90E-05,1.06E-07,0.018967363,0.013832277,0.005107817,0.962033338
16,4.21E-35,2.09E-20,0,0,0,9.68E-15,0,0,3.19E-21,7.65E-09,1.32E-09,2.28E-05,2.63E-08,0.018647473,0.013637465,0.005035737,0.962656503
17,2.05E-40,1.36E-22,0,0,0,1.26E-15,0,0,8.37E-24,1.05E-09,1.79E-10,8.79E-06,6.51E-09,0.018336103,0.013448244,0.004965728,0.963241124
18,9.43E-46,8.74E-25,0,0,0,1.65E-16,0,0,2.16E-26,1.43E-10,2.44E-11,3.39E-06,1.61E-09,0.018033395,0.013264727,0.004897832,0.963800652
19,4.12E-51,5.59E-27,0,0,0,2.15E-17,0,0,5.49E-29,1.96E-11,3.31E-12,1.31E-06,3.99E-10,0.017739174,0.013086799,0.004832005,0.964340713
20,1.70E-56,3.54E-29,0,0,0,2.81E-18,0,0,1.37E-31,2.68E-12,4.49E-13,5.04E-07,9.88E-11,0.017453159,0.012914265,0.004768176,0.964863895
21,7.98E-62,2.23E-31,6.06E-06,0,0,3.65E-19,0,0,3.37E-34,3.65E-13,6.07E-14,1.94E-07,2.45E-11,0.017156229,0.012732828,0.004701123,0.965403568
22,2.94E-67,1.39E-33,3.63E-08,0,0,4.76E-20,0,0,8.18E-37,4.98E-14,8.20E-15,7.48E-08,6.06E-12,0.016886294,0.012570871,0.004641209,0.965901515
23,1.02E-72,8.63E-36,2.16E-10,0,0,6.21E-21,0,0,1.95E-39,6.80E-15,1.11E-15,2.88E-08,1.50E-12,0.016623533,0.012413592,0.004583028,0.966379818
24,3.31E-78,5.32E-38,1.27E-12,0,0,8.09E-22,0,0,4.59E-42,9.26E-16,1.50E-16,1.11E-08,3.73E-13,0.016367749,0.012260858,0.004526529,0.966844854
25,1.01E-83,3.25E-40,7.39E-15,0,0,1.05E-22,0,0,1.06E-44,1.26E-16,2.02E-17,4.27E-09,9.25E-14,0.01611867,0.012112482,0.004471644,0.9672972
26,2.88E-89,1.98E-42,4.27E-17,0,0,1.37E-23,0,0,2.43E-47,1.72E-17,2.72E-18,1.64E-09,2.30E-14,0.015876038,0.011968287,0.004418307,0.967737367
27,7.60E-95,1.19E-44,2.44E-19,0,0,1.78E-24,0,0,5.46E-50,2.33E-18,3.65E-19,6.31E-10,5.69E-15,0.015609197,0.011805148,0.004357981,0.968227674
28,2.45E-100,7.13E-47,5.66E-06,0,0,2.32E-25,0,0,1.21E-52,3.16E-19,4.90E-20,2.43E-10,1.41E-15,0.015362598,0.011656427,0.004303033,0.968672277
29,5.40E-106,4.30E-49,2.95E-08,0,0,3.02E-26,0,0,2.68E-55,4.31E-20,6.57E-21,3.84E-04,3.50E-16,0.015128229,0.011516384,0.004251241,0.968719679
30,1.12E-111,2.56E-51,1.60E-10,0,0,3.93E-27,0,0,5.83E-58,5.87E-21,8.81E-22,1.48E-04,8.70E-17,0.014917486,0.011393672,0.004205851,0.96933514
31,2.13E-117,1.51E-53,8.73E-13,0,0,5.12E-28,0,0,1.24E-60,7.97E-22,1.18E-22,5.68E-05,2.16E-17,0.014707481,0.011270904,0.004160442,0.969804331
32,3.71E-123,8.86E-56,4.76E-15,0,0,6.66E-29,0,0,2.61E-63,1.08E-22,1.58E-23,2.18E-05,5.37E-18,0.014500855,0.011150089,0.004115759,0.97021145
33,1.17E-128,4.88E-58,2.44E-17,0,0,1.30E-04,0,0,5.41E-66,1.46E-23,2.11E-24,8.37E-06,1.33E-18,0.014269897,0.011009928,0.004063931,0.970518334
34,1.88E-134,2.81E-60,1.30E-19,0,0,1.68E-05,0,0,1.11E-68,1.98E-24,2.82E-25,3.22E-06,3.31E-19,0.01407263,0.010895013,0.00402143,0.970990866
35,2.39E-140,1.61E-62,6.94E-22,0,0,2.19E-06,0,0,2.23E-71,2.68E-25,3.76E-26,1.24E-06,8.23E-20,0.01387992,0.010782988,0.003980001,0.971353665
36,2.63E-146,9.21E-65,3.68E-24,0,0,2.85E-07,0,0,4.44E-74,3.63E-26,5.03E-27,4.74E-07,2.05E-20,0.013691598,0.010673742,0.0039396,0.971694301
37,2.50E-152,5.24E-67,1.93E-26,0,0,3.71E-08,0,0,8.73E-77,4.91E-27,6.71E-28,1.82E-07,5.09E-21,0.013507527,0.010567187,0.003900195,0.972024871
38,3.29E-156,2.93E-69,1.02E-28,0,0,4.80E-09,0,0,1.77E-79,6.62E-28,8.94E-29,6.98E-08,2.49E-04,0.013306861,0.010447888,0.003855586,0.97214105
39,1.09E-160,1.64E-71,5.30E-31,0,0,6.24E-10,0,0,3.43E-82,8.95E-29,1.19E-29,2.68E-08,6.19E-05,0.013132655,0.010348011,0.003818532,0.972638915
40,9.42E-166,9.20E-74,2.73E-33,0,0,8.12E-11,0,0,6.51E-85,1.21E-29,1.59E-30,1.03E-08,1.54E-05,0.01296128,0.010249592,0.003782113,0.972991604
41,2.25E-171,5.13E-76,1.40E-35,0,0,1.05E-11,0,0,1.22E-87,1.64E-30,2.11E-31,3.94E-09,3.83E-06,0.012793376,0.010153274,0.003746496,0.973303016
