name,stra.1,stra.2,stra.3,stra.4,stra.5,stra.6,stra.7,stra.8,stra.9,stra.10,stra.11,stra.12,stra.13,stra.14,stra.15,stra.16,stra.17
initial,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529
0,0.06673653,0.06144034,0.049213436,0.044522184,0.045027507,0.015166946,0.008123667,0,0.084160933,0.105275284,0.082921579,0.09626822,0.043891208,0.06608371,0.063010377,0.060466009,0.10769207
1,0.039894353,0.034570171,0.022245316,0.019761981,0.015631225,0.002873581,0,0,0.067521955,0.143908873,0.082233688,0.135525223,0.027804117,0.089603789,0.081507501,0.078962148,0.15795608
2,0.011981019,0.012830247,0.005558849,0.005924908,0.002546869,6.25E-04,0,0,0.032793572,0.169319294,0.061504536,0.169173908,0.014800708,0.11904603,0.099492755,0.101118152,0.193283783
3,0.001871024,0.003589112,8.37E-04,0.001383078,2.00E-04,1.36E-04,0,0,0.010986425,0.177059422,0.037868203,0.188938641,0.006603425,0.141839072,0.106872354,0.116270448,0.205545778
4,2.03E-04,8.90E-04,1.02E-04,2.96E-04,1.04E-05,2.84E-05,0,0,0.003179923,0.176972489,0.021846814,0.200879376,0.002692926,0.156419054,0.105606736,0.123873784,0.206998214
5,1.95E-05,2.13E-04,1.20E-05,6.22E-05,4.69E-07,5.85E-06,0,0,8.94E-04,0.175942905,0.012466741,0.210333906,0.001063246,0.166082353,0.100217833,0.126997759,0.20568799
6,1.86E-06,5.11E-05,1.40E-06,1.29E-05,2.17E-08,1.20E-06,0,0,2.53E-04,0.176174697,0.007097519,0.218886599,4.16E-04,0.173139256,0.093085371,0.127536101,0.203343293
7,1.85E-07,1.25E-05,1.67E-07,2.65E-06,1.11E-09,2.52E-07,0,0,7.30E-05,0.178524313,0.00402825,0.227064661,1.63E-04,0.178743838,0.085201634,0.126324316,0.199861732
8,2.00E-08,3.15E-06,2.03E-08,5.44E-07,6.60E-11,5.41E-08,0,0,2.17E-05,0.18372132,0.00227646,0.235322828,6.39E-05,0.183349977,0.076918232,0.123614436,0.194707353
9,2.42E-09,8.35E-07,2.56E-09,1.13E-07,4.71E-12,1.21E-08,0,0,6.72E-06,0.192753348,0.001279886,0.244220957,2.54E-05,0.186953703,0.068299534,0.119319846,0.187139648
10,3.36E-10,2.37E-07,3.40E-10,2.37E-08,4.13E-13,2.87E-09,0,0,2.18E-06,0.206743151,0.001272162,0.254052511,1.02E-05,0.189232876,0.059333661,0.113189015,0.176163933
11,5.52E-11,7.35E-08,4.83E-11,5.16E-09,4.55E-14,7.31E-10,0,0,7.56E-07,0.228337506,7.05E-04,0.266077731,4.22E-06,0.189362796,0.049919553,0.104745186,0.160847629
12,1.09E-11,2.53E-08,7.47E-12,1.18E-09,6.36E-15,2.03E-10,0,0,2.82E-07,0.260080505,3.85E-04,0.280149217,1.78E-06,0.185829161,0.040036688,0.093405594,0.140112215
13,2.59E-12,9.79E-09,1.26E-12,2.85E-10,1.12E-15,6.18E-11,0,0,1.14E-07,0.305003021,2.05E-04,0.29544015,7.71E-07,0.176738994,0.029950379,0.078919992,0.113741983
14,7.31E-13,4.22E-09,2.31E-13,7.31E-11,2.41E-16,2.05E-11,0,0,4.94E-08,0.3648202,1.04E-04,0.309337822,3.39E-07,0.160157663,0.020304597,0.061772395,0.083502582
15,2.38E-13,1.99E-09,4.56E-14,1.97E-11,6.13E-17,7.32E-12,0,0,2.27E-08,0.437169825,5.00E-05,0.317426004,1.50E-07,0.135677189,0.012103633,0.043756313,0.053816841
16,8.55E-14,9.96E-10,9.44E-15,5.51E-12,1.74E-17,2.73E-12,0,0,1.07E-08,0.514230028,2.22E-05,0.315710363,6.56E-08,0.106125193,0.006226018,0.027672328,0.030013766
17,3.26E-14,5.14E-10,2.02E-15,1.58E-12,5.28E-18,1.03E-12,0,0,5.11E-09,0.586233667,9.17E-06,0.303823561,2.81E-08,0.076787841,0.002773676,0.015702466,0.014669583
18,1.29E-14,2.69E-10,4.43E-16,4.63E-13,1.67E-18,3.95E-13,0,0,2.44E-09,0.647042413,3.57E-06,0.285106298,1.18E-08,0.05210708,0.001094014,0.008151294,0.006495314
19,5.20E-15,1.42E-10,9.98E-17,1.38E-13,5.38E-19,1.51E-13,0,0,1.16E-09,0.695552871,1.34E-06,0.263687136,4.86E-09,0.033710324,3.92E-04,0.003956809,0.002699252
20,2.13E-15,7.55E-11,2.30E-17,4.24E-14,1.77E-19,5.77E-14,0,0,5.56E-10,0.733468916,4.94E-07,0.242424842,1.98E-09,0.021066701,1.31E-04,0.001827288,0.001081119
21,8.87E-16,4.03E-11,5.46E-18,1.33E-14,5.88E-20,2.21E-14,0,0,2.67E-10,0.763160417,1.80E-07,0.222729232,8.04E-10,0.012832434,4.10E-05,8.12E-04,4.24E-04
22,3.73E-16,2.16E-11,1.33E-18,4.24E-15,1.98E-20,8.48E-15,0,0,4.82E-04,0.786342518,6.57E-08,0.204986589,3.24E-10,0.007661293,1.23E-05,3.50E-04,1.65E-04
