name,stra.1,stra.2,stra.3,stra.4,stra.5,stra.6,stra.7,stra.8,stra.9,stra.10,stra.11,stra.12,stra.13,stra.14,stra.15,stra.16,stra.17
initial,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529
0,0.063013476,0.059231191,0.047778372,0.04400319,0.041451335,0.013509717,0.007174916,0,0.081396532,0.105742911,0.083420363,0.099002992,0.043259169,0.069787783,0.066565485,0.064786636,0.109875932
1,0.032373625,0.030124044,0.019590436,0.018567611,0.011763571,0.002369361,0,0,0.059435981,0.142544659,0.081000583,0.140578759,0.026542544,0.097501514,0.088804791,0.087997233,0.160805288
2,0.007096024,0.009394299,0.004091711,0.005085008,0.001211078,4.55E-04,0,0,0.02463849,0.16123431,0.058346211,0.172749699,0.013212399,0.128421592,0.108237896,0.112958413,0.192868112
3,6.52E-04,0.002109149,5.06E-04,0.001082766,3.36E-05,8.22E-05,0,0,0.006925654,0.161072133,0.035247679,0.189268812,0.005476038,0.149804086,0.115705039,0.129049613,0.2029852
4,3.22E-05,4.05E-04,5.15E-05,2.12E-04,4.21E-08,1.37E-05,0,0,0.001680385,0.153887122,0.020400054,0.198407397,0.002086364,0.162818877,0.115603231,0.138145063,0.206256936
5,1.36E-06,7.47E-05,5.46E-06,4.21E-05,0,2.26E-06,0,0,4.01E-04,0.144981815,0.011866253,0.204292783,7.82E-04,0.171381734,0.112711414,0.143940388,0.209516781
6,5.28E-08,1.33E-05,6.02E-07,8.36E-06,0,3.70E-07,0,0,9.52E-05,0.135163984,0.006947759,0.207509192,2.92E-04,0.177862885,0.109258461,0.148536946,0.214311067
7,1.89E-09,2.30E-06,6.90E-08,1.66E-06,0,5.99E-08,0,0,2.24E-05,0.124171858,0.004088368,0.207803917,1.09E-04,0.183364355,0.106193679,0.15297729,0.22126532
8,6.17E-11,3.76E-07,8.27E-09,3.31E-07,0,9.60E-09,0,0,5.19E-06,0.111561501,0.002417375,0.20477593,4.05E-05,0.18832943,0.103953267,0.15782786,0.231088233
9,1.79E-12,5.79E-08,1.05E-09,6.66E-08,0,1.52E-09,0,0,1.18E-06,0.096978459,0.001436499,0.197939075,1.50E-05,0.192787435,0.102743893,0.163394444,0.24470384
10,4.45E-14,8.18E-09,1.42E-10,1.36E-08,0,2.36E-10,0,0,2.60E-07,0.080387389,8.57E-04,0.186748552,5.57E-06,0.196422593,0.102627306,0.169758644,0.263192566
11,8.97E-16,1.03E-09,2.05E-11,2.85E-09,0,3.60E-11,0,0,5.47E-08,0.062347353,5.12E-04,0.170760691,2.05E-06,0.198573585,0.103501588,0.176704007,0.287599025
12,1.36E-17,1.12E-10,3.17E-12,6.06E-10,0,5.30E-12,0,0,1.08E-08,0.044215137,3.03E-04,0.149991832,7.39E-07,0.198285394,0.105036028,0.183602739,0.318564822
13,1.41E-19,1.01E-11,5.17E-13,1.31E-10,0,7.52E-13,0,0,1.98E-09,0.027973998,1.76E-04,0.125386183,2.61E-07,0.194566734,0.106644054,0.189409698,0.35584265
14,8.76E-22,7.32E-13,8.66E-14,2.80E-11,0,1.02E-13,0,0,3.28E-10,0.015458664,9.92E-05,0.099025333,8.93E-08,0.186889194,0.107602557,0.192939963,0.397985006
15,2.88E-24,4.15E-14,1.45E-14,5.87E-12,0,1.32E-14,0,0,4.85E-11,0.007373654,5.31E-05,0.073651247,2.95E-08,0.175625262,0.107328299,0.193389876,0.44257853
16,4.37E-27,1.85E-15,2.36E-15,1.18E-12,0,1.65E-15,0,0,6.36E-12,0.003037244,2.67E-05,0.051652937,9.35E-09,0.161974883,0.105622479,0.190711967,0.486973736
17,2.75E-30,6.57E-17,3.65E-16,2.24E-13,0,1.99E-16,0,0,7.40E-13,0.001091244,1.26E-05,0.034266729,2.86E-09,0.148050108,0.102481695,0.185165181,0.528932469
18,6.91E-34,1.92E-18,5.30E-17,3.98E-14,0,2.36E-17,0,0,7.65E-14,3.48E-04,5.51E-06,0.021658616,8.49E-10,0.13367969,0.09868323,0.178319016,0.567305548
19,7.60E-38,4.74E-20,7.12E-18,6.53E-15,0,2.76E-18,0,0,7.07E-15,1.01E-04,2.25E-06,0.01309474,2.46E-10,0.120358762,0.094491642,0.17072875,0.601223337
20,4.58E-42,1.02E-21,8.84E-19,9.93E-16,0,3.21E-19,0,0,5.87E-16,2.67E-05,8.61E-07,0.007614578,6.99E-11,0.108423199,0.090240971,0.163026384,0.630667331
21,1.91E-46,1.96E-23,1.01E-19,1.40E-16,0,3.73E-20,0,0,4.43E-17,6.61E-06,3.10E-07,0.004281143,1.96E-11,0.097939263,0.086149562,0.155614505,0.656008602
22,2.31E-50,3.43E-25,1.08E-20,1.82E-17,0,4.34E-21,0,0,3.06E-18,1.55E-06,1.06E-07,0.00233553,2.77E-04,0.088727317,0.082251961,0.148545112,0.677861556
23,1.19E-54,5.57E-27,1.06E-21,2.22E-18,0,5.06E-22,0,0,1.94E-19,3.48E-07,3.43E-08,0.00124446,7.61E-05,0.080851588,0.078780226,0.142257846,0.696789442
24,3.68E-59,8.48E-29,9.80E-23,2.53E-19,0,5.91E-23,0,0,1.15E-20,7.52E-08,1.07E-08,6.48E-04,2.07E-05,0.074772714,0.075460578,0.136250348,0.712847081
25,8.38E-64,1.23E-30,8.50E-24,2.73E-20,0,6.95E-24,0,0,6.37E-22,1.58E-08,3.19E-09,3.32E-04,5.62E-06,0.068731053,0.072584205,0.131046354,0.727300448
26,1.56E-68,1.70E-32,6.94E-25,2.77E-21,0,8.20E-25,0,0,3.32E-23,3.22E-09,9.22E-10,1.68E-04,1.52E-06,0.063445999,0.069989517,0.126353074,0.740042307
27,1.55E-72,2.30E-34,5.35E-26,2.67E-22,0,9.71E-26,1.61E-04,0,1.63E-24,6.43E-10,2.58E-10,8.33E-05,4.08E-07,0.058749352,0.067575718,0.121994696,0.751435487
28,4.16E-77,2.96E-36,3.92E-27,2.45E-23,0,1.15E-26,2.58E-05,0,7.63E-26,1.26E-10,7.01E-11,4.09E-05,1.10E-07,0.05464812,0.065461797,0.118173104,0.761650195
29,5.76E-82,3.66E-38,2.75E-28,2.15E-24,0,1.37E-27,4.10E-06,0,3.39E-27,2.41E-11,1.86E-11,1.99E-05,2.93E-08,0.050991134,0.063533947,0.114687572,0.770763351
