generation,stra.1,stra.2,stra.3,stra.4,stra.5,stra.6,stra.7,stra.8,stra.9,stra.10,stra.11,stra.12,stra.13,stra.14,stra.15,stra.16,stra.17
initial,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529
0,0.118595013,0.092668229,0.074869516,0.057397936,0.102086804,0.05443528,0.0384053,0.019329763,0.112687536,0.078790341,0.06124177,0.045600722,0.057276666,0.014902475,0.007879639,0,0.063833011
1,0.181013754,0.094399618,0.079772558,0.04141159,0.122718831,0.02071544,0.015231873,0.001273167,0.169054347,0.071013493,0.061568538,0.030616988,0.042178181,0.001349225,0.001319946,0,0.066362451
2,0.238396211,0.075856077,0.080922903,0.026150225,0.119362669,0.003964826,0.005321421,0,0.219793347,0.052488043,0.061706543,0.019226995,0.027837035,1.27E-04,3.30E-04,0,0.068516394
3,0.286365204,0.052954946,0.081094371,0.015387058,0.102697039,4.60E-04,0.002003093,0,0.26152808,0.035525817,0.061909594,0.011732785,0.017586536,1.64E-05,1.07E-04,0,0.070632384
4,0.324301342,0.033591885,0.081051353,0.008608132,0.081767842,3.23E-05,8.07E-04,0,0.294281718,0.022785375,0.062150002,0.007002788,0.010802964,2.46E-06,3.94E-05,0,0.072775418
5,0.352223327,0.019863169,0.080929888,0.004646124,0.061614122,1.33E-06,3.40E-04,0,0.318306629,0.014071584,0.062397927,0.004118829,0.006507911,4.07E-07,1.57E-05,0,0.074963218
6,0.371440401,0.011163991,0.080754762,0.002447956,0.044637625,2.99E-08,1.47E-04,0,0.334816687,0.008457976,0.062641565,0.002401189,0.003867975,7.19E-08,6.54E-06,0,0.077216517
7,0.383944884,0.006057275,0.080538703,0.001270184,0.031473404,3.35E-10,6.41E-05,0,0.345552124,0.004987694,0.062879087,0.00139281,0.00227808,1.33E-08,2.81E-06,0,0.079558832
8,0.391674628,0.003209553,0.080291553,6.53E-04,0.021792482,1.47E-12,2.81E-05,0,0.35218285,0.002902801,0.063111868,8.06E-04,0.001333668,2.52E-09,1.23E-06,0,0.08201255
9,0.396165437,0.001674303,0.080019898,3.34E-04,0.014910378,4.70E-16,1.24E-05,0,0.356026357,0.001674415,0.063341483,4.66E-04,7.78E-04,4.87E-10,5.46E-07,0,0.084597764
10,0.398504014,8.66E-04,0.079728075,1.70E-04,0.010132228,0,5.44E-06,0,0.358013755,9.62E-04,0.063568429,2.69E-04,4.53E-04,9.65E-11,2.44E-07,0,0.087327239
11,0.399429981,4.46E-04,0.079417672,8.69E-05,0.006854768,0,2.40E-06,0,0.358779055,5.51E-04,0.063793201,1.56E-04,2.64E-04,1.94E-11,1.10E-07,0,0.090219744
12,0.399474748,2.29E-04,0.079039441,4.42E-05,0.004625903,0,1.06E-06,3.96E-06,0.35878028,3.15E-04,0.063948967,9.02E-05,1.54E-04,3.94E-12,4.98E-08,0,0.093294219
13,0.398821938,1.17E-04,0.078692029,2.25E-05,0.003113589,0,4.65E-07,1.96E-08,0.358171827,1.80E-04,0.064168587,5.23E-05,8.94E-05,8.12E-13,2.27E-08,0,0.096570723
14,0.397710151,5.97E-05,0.07832413,1.15E-05,0.002092454,0,2.05E-07,1.05E-10,0.357160785,1.02E-04,0.064384955,3.04E-05,5.20E-05,1.69E-13,1.04E-08,0,0.100071328
15,0.396254553,3.04E-05,0.07793412,5.84E-06,0.001404548,0,9.01E-08,5.90E-13,0.355846592,5.84E-05,0.064597165,1.76E-05,3.03E-05,3.54E-14,4.75E-09,0,0.103820374
16,0.394522172,1.55E-05,0.077519807,2.97E-06,9.42E-04,0,3.96E-08,3.48E-15,0.354287109,3.32E-05,0.064804064,1.02E-05,1.76E-05,7.47E-15,2.19E-09,0,0.107845342
17,0.392549863,7.88E-06,0.077078579,1.51E-06,6.31E-04,0,1.74E-08,2.14E-17,0.352514068,1.89E-05,0.06500424,5.96E-06,1.03E-05,1.59E-15,1.01E-09,0,0.112177612
18,0.390354251,4.00E-06,0.076607367,7.68E-07,4.22E-04,0,7.66E-09,1.36E-19,0.350541605,1.08E-05,0.065195984,3.47E-06,5.98E-06,3.42E-16,4.69E-10,0,0.1168533
19,0.388499761,2.03E-06,0.076017858,3.89E-07,2.82E-04,0,3.36E-09,9.03E-22,0.347983765,6.12E-06,0.065304035,2.02E-06,3.48E-06,7.41E-17,2.18E-10,0,0.121898235
20,0.385852227,1.03E-06,0.075476205,1.97E-07,1.89E-04,0,1.48E-09,6.22E-24,0.345612567,3.48E-06,0.065471902,1.18E-06,2.03E-06,1.62E-17,1.02E-10,0,0.127390501
21,0.382946513,5.22E-07,0.074853763,1.00E-07,1.26E-04,0,6.47E-10,3.87E-26,0.342900677,1.98E-06,0.065560033,6.85E-07,1.18E-06,2.20E-04,4.79E-11,0,0.133388181
22,0.379874642,2.64E-07,0.074231426,5.06E-08,8.41E-05,0,2.84E-10,2.81E-28,0.340126471,1.12E-06,0.065693952,4.00E-07,6.89E-07,4.93E-05,2.26E-11,0,0.139937627
23,0.376427919,1.34E-07,0.073545828,2.56E-08,5.60E-05,0,1.25E-10,2.18E-30,0.337035641,6.38E-07,0.065801676,2.34E-07,4.02E-07,1.12E-05,1.08E-11,0,0.147120309
24,0.372621983,6.74E-08,0.072794919,1.29E-08,3.73E-05,0,5.47E-11,1.78E-32,0.333627445,3.62E-07,0.06587884,1.37E-07,2.35E-07,2.57E-06,5.15E-12,0,0.155036145
25,0.36841902,3.40E-08,0.071970124,6.52E-09,2.48E-05,0,2.40E-11,1.53E-34,0.329864739,2.05E-07,0.065918543,8.01E-08,1.37E-07,5.98E-07,2.48E-12,0,0.163801733
26,0.363759917,1.71E-08,0.071059673,3.28E-09,1.64E-05,0,1.05E-11,1.38E-36,0.325693848,1.16E-07,0.065911766,4.70E-08,7.99E-08,1.42E-07,1.20E-12,0,0.173557951
27,0.358568923,8.57E-09,0.070048835,1.65E-09,1.09E-05,0,4.60E-12,1.32E-38,0.321046771,6.60E-08,0.06584695,2.76E-08,4.67E-08,3.43E-08,5.90E-13,0,0.184477451
28,0.352751379,4.29E-09,0.068919308,8.25E-10,7.19E-06,0,2.01E-12,1.35E-40,0.31583871,3.73E-08,0.065709211,1.62E-08,2.73E-08,8.44E-09,2.91E-13,0,0.196774108
29,0.346188683,2.14E-09,0.067648189,4.12E-10,4.73E-06,0,8.77E-13,1.46E-42,0.309963458,2.11E-08,0.065479191,9.55E-09,1.59E-08,2.13E-09,1.46E-13,0,0.210715692
30,0.338730914,1.06E-09,0.066206511,2.05E-10,3.11E-06,0,3.82E-13,1.70E-44,0.303286773,1.19E-08,0.065131412,5.63E-09,9.30E-09,5.51E-10,7.37E-14,0,0.226641254
31,0.330186473,5.26E-10,0.064557205,1.01E-10,2.03E-06,0,1.66E-13,2.15E-46,0.295637098,6.70E-09,0.064631898,3.32E-09,5.43E-09,1.47E-10,3.78E-14,0,0.24498528
32,0.320307552,2.59E-10,0.062652237,4.99E-11,1.32E-06,0,7.20E-14,2.94E-48,0.286792548,3.76E-09,0.063934688,1.97E-09,3.17E-09,4.04E-11,1.97E-14,0,0.266311646
33,0.30876964,1.26E-10,0.060428564,2.44E-11,8.51E-07,0,3.11E-14,4.44E-50,0.276462557,2.10E-09,0.062976644,1.17E-09,1.84E-09,1.16E-11,1.05E-14,0,0.291361739
34,0.295142607,6.08E-11,0.057802403,1.18E-11,5.43E-07,0,1.33E-14,7.42E-52,0.264261989,1.17E-09,0.061669612,6.92E-10,1.07E-09,3.47E-12,5.69E-15,0,0.321122843
35,0.278850441,2.89E-11,0.054661205,5.61E-12,3.42E-07,0,5.67E-15,1.40E-53,0.249675085,6.42E-10,0.059888486,4.11E-10,6.21E-10,1.10E-12,3.18E-15,0,0.35692444
36,0.259117673,1.35E-11,0.050852872,2.62E-12,2.12E-07,0,2.38E-15,3.00E-55,0.232007494,3.50E-10,0.057453059,2.44E-10,3.57E-10,3.71E-13,1.83E-15,0,0.40056869
37,0.23490741,6.11E-12,0.046173021,1.19E-12,1.27E-07,0,9.83E-16,7.50E-57,0.21033078,1.87E-10,0.0541013,1.44E-10,2.04E-10,1.35E-13,1.10E-15,0,0.454487361
