name,stra.1,stra.2,stra.3,stra.4,stra.5,stra.6,stra.7,stra.8,stra.9,stra.10,stra.11,stra.12,stra.13,stra.14,stra.15,stra.16,stra.17
initial,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529
0,0.118245881,0.092540115,0.075214786,0.057933682,0.102574466,0.056093211,0.040337844,0.021586979,0.111678571,0.077021401,0.060329418,0.04418075,0.057872068,0.014663478,0.007788116,0,0.061939234
1,0.180332596,0.094651523,0.080728117,0.042468723,0.124605127,0.02278179,0.017361096,0.002217053,0.167110609,0.068775613,0.060537527,0.029234638,0.043162457,0.001276999,0.001293984,0,0.063462148
2,0.239774811,0.076349389,0.082498213,0.026851077,0.122947773,0.004338398,0.006208436,0,0.219070711,0.050067594,0.060625387,0.017801401,0.028334997,7.28E-05,2.84E-04,0,0.064775486
3,0.288903512,0.053214416,0.08299231,0.015796546,0.106417297,4.88E-04,0.00237573,0,0.261263395,0.033339972,0.060747594,0.010591081,0.017747659,7.13E-06,8.48E-05,0,0.066030533
4,0.327365961,0.033696827,0.08306606,0.008832876,0.085807733,3.29E-05,9.69E-04,0,0.294026794,0.021097597,0.06082559,0.0061845,0.010793573,8.67E-07,2.93E-05,0,0.067270081
5,0.356023382,0.019953693,0.083095004,0.004778613,0.064922327,1.30E-06,4.13E-04,0,0.318378888,0.012913244,0.060972273,0.003576311,0.006446158,1.20E-07,1.10E-05,0,0.068514999
6,0.375972562,0.011255205,0.083045934,0.002527992,0.047236268,2.89E-08,1.80E-04,0,0.335320922,0.007712682,0.061116958,0.002055488,0.003799553,1.81E-08,4.35E-06,0,0.069772343
7,0.389230795,0.006139183,0.082947359,0.001318825,0.03345839,3.40E-10,7.91E-05,0,0.346587403,0.004527368,0.061259115,0.001177565,0.002219829,2.88E-09,1.77E-06,0,0.071053313
8,0.397734264,0.003274173,0.082817433,6.82E-04,0.023279127,1.89E-12,3.49E-05,0,0.353821641,0.002625713,0.061399733,6.74E-04,0.001289319,4.73E-10,7.36E-07,0,0.072367111
9,0.403015572,0.001720592,0.0826674,3.51E-04,0.016008203,3.63E-15,1.54E-05,0,0.358319498,0.001510307,0.06153977,3.85E-04,7.46E-04,7.94E-11,3.09E-07,0,0.073720686
10,0.406188699,8.96E-04,0.08246675,1.80E-04,0.010930139,2.70E-18,6.81E-06,0,0.360902453,8.64E-04,0.061620919,2.20E-04,4.30E-04,1.70E-04,1.30E-07,0,0.075123818
